종목코드,판매비와관리비,판매비와관리비_전기,판매비와관리비_전전기,매출원가,매출원가_전기,매출원가_전전기
036830,110071755213.0,83483256387.0,76867778908.0,449958061815.0,323416902304.0,438326942777.0
101490,34228961930.0,30014739705.0,21608342654.0,159114538317.0,116520463645.0,103672662880.0
056190,97020329170.0,277860977704.0,95769817227.0,1448069186708.0,1815899687576.0,1675672319874.0
119850,17050324688.0,11663009747.0,11379604668.0,196210775279.0,182949603052.0,144014903017.0
038500,53783440025.0,65299002592.0,67322658335.0,546559807258.0,621557396165.0,671705670638.0
458870,18556417822.0,12117251677.0,8978920843.0,13287153427.0,4664004195.0,2709500709.0
014620,44939293504.0,35040442068.0,31325836251.0,158774927027.0,150654590423.0,178533631691.0
491000,52176611017.0,41051201297.0,33390331137.0,21657690403.0,12574718450.0,7788240685.0
065350,,,,849698802749.0,795059475001.0,736139310027.0
252990,22744718560.0,14598073415.0,14598454192.0,40574043510.0,33516865084.0,19248548026.0
083450,81623560704.0,67252365206.0,49841813982.0,206362766969.0,207621451012.0,176936543318.0
099320,23232084998.0,29859748270.0,19539528045.0,173505050660.0,144491862795.0,110247717816.0
031330,48343853073.0,46343480482.0,39258514903.0,3594349302774.0,2775759671406.0,2052266522145.0
041830,144257537150.0,121487325191.0,94106547865.0,52938111795.0,46238756042.0,37896369253.0
213420,55337789000.0,29055475614.0,24529524802.0,228229579883.0,130725199834.0,106252968933.0
090710,31021200208.0,19699142062.0,14961867504.0,154605657369.0,118337178018.0,69565485076.0
388720,16955528149.0,8073157184.0,9217410678.0,32582701862.0,26700668470.0,26674273929.0
281740,15597952895.0,14109336646.0,12591303282.0,112364801708.0,102450359009.0,75672117238.0
417200,13235161379.0,11828037185.0,10013474744.0,140488847205.0,124050475348.0,113303102061.0
032190,1118834658420.0,955964048908.0,777394362522.0,15333246111155.0,9974289142998.0,8888687949474.0
033100,47392423810.0,37979665653.0,21050357779.0,109597385879.0,126911363454.0,92738894263.0
251970,27389503406.0,27434634060.0,25756310917.0,288056370853.0,261651521100.0,223436290732.0
115180,30694038305.0,28828574238.0,24975971788.0,6052753624.0,7829050846.0,7269042826.0
090360,12582280249.0,11901154816.0,11210653844.0,68813640035.0,77090663459.0,90332533617.0
085660,412525719706.0,334940447693.0,285939387011.0,904502768226.0,769792709887.0,677579504845.0
122870,134451881016.0,118103879660.0,106445639111.0,358800026633.0,265476191665.0,383227726506.0
093320,25179450019.0,22073151472.0,19547033155.0,110181413144.0,93097182139.0,76573452974.0
456160,4081922139.0,3287532630.0,2712055662.0,456554967.0,578603464.0,434123870.0
171090,23946011776.0,17898656403.0,18942106441.0,380289473705.0,87119808440.0,47528082174.0
035760,1574791733958.0,1594610652627.0,1531798015356.0,3428913314072.0,3520172634342.0,2851412819140.0
006730,,,,120113476620.0,91181157037.0,85469591866.0
137400,40575165855.0,48898931244.0,35757402480.0,608666119410.0,822186965818.0,431707280633.0
388210,13032552476.0,9565277568.0,6355442976.0,95741266099.0,75461607003.0,60966276976.0
023160,47200633077.0,32327421744.0,31786938325.0,211030208704.0,194609605147.0,222556434026.0
074600,189274579075.0,172142713610.0,147023188178.0,694756713516.0,628784665410.0,575941540017.0
189300,112936032870.0,118870824867.0,111664996232.0,194738646944.0,158342316794.0,182652300292.0
041960,15098489664.0,15571096825.0,18931254282.0,35406348803.0,37014519271.0,29988868252.0
094170,44021470475.0,34307475580.0,28127806003.0,81190523312.0,86485811752.0,58251236282.0
253450,26648450650.0,31578531189.0,31996561275.0,473677923854.0,482108395061.0,665278132968.0
044490,30204772985.0,28589945198.0,28365897715.0,314426552763.0,334918024314.0,375866971127.0
122640,,,,67530717333.0,73452649478.0,65590491935.0
466100,13543970709.0,13360916295.0,9283578124.0,31042705985.0,27525031602.0,20685466199.0
059090,228239597833.0,162703122755.0,129940835116.0,647792950352.0,283167576143.0,221815027948.0
161580,42869534440.0,55749783130.0,33378040463.0,95463393109.0,341347950334.0,256357728762.0
060250,,,,1114097514441.0,1006872763545.0,879618476004.0
102710,80132247116.0,72869118179.0,65191486294.0,512687251208.0,450232167540.0,442037365076.0
048410,18404540970.0,11031484623.0,14826333098.0,3273738833.0,3184749097.0,4440200164.0
327260,10497951130.0,10904302298.0,10619798245.0,46216139516.0,35045626026.0,37326813190.0
222080,26315924876.0,51206554940.0,19689705393.0,347354848388.0,397988627175.0,251531077010.0
032500,25392502871.0,29065845793.0,32271133399.0,84516037444.0,75498514598.0,92932103157.0
121600,33374475031.0,30195958233.0,21196542456.0,73689807330.0,54583663479.0,50081575080.0
079940,98571442254.0,88615769895.0,82689507020.0,196623979117.0,158692257419.0,136298562404.0
052400,60091657518.0,62251179639.0,76502131999.0,160172641009.0,140642584092.0,170036179264.0
425420,21172024746.0,18891723593.0,17538687270.0,71498798658.0,50328253668.0,53611375306.0
295310,6181063458.0,6678883440.0,4333508487.0,54513038554.0,45250572814.0,33395824682.0
046890,235990575051.0,243044655758.0,230896231204.0,809048979222.0,858266031443.0,850836242960.0
160190,11981372261.0,7445221406.0,7149937457.0,70471155532.0,68810212758.0,65760960964.0
033790,5368762976.0,3722790923.0,4068644799.0,250544944102.0,26945903025.0,5022526704.0
052020,25256228035.0,23811699232.0,26541175716.0,5200370152.0,10101513421.0,5326891869.0
033500,48396015251.0,40577977769.0,30638486750.0,621231287071.0,502842889763.0,463168735898.0
053610,29945635819.0,25826534438.0,27296792744.0,154290217910.0,131019623974.0,111341444548.0
383310,29991046237.0,30836520550.0,33788178048.0,99356485013.0,179437838351.0,153377033481.0
009520,,,,336740379362.0,327050825936.0,322162632811.0
050890,58338049912.0,54400629752.0,49593072779.0,163278916170.0,207221036458.0,200306565766.0
033640,77106522304.0,64377909716.0,57486896375.0,420571638861.0,396551800142.0,401426446838.0
019210,154694811683.0,145901847261.0,134108966031.0,417938431542.0,372825645125.0,365094654613.0
211050,93364692000.0,71200520000.0,59287325000.0,833559850000.0,674791533000.0,450958746000.0
036810,84920662868.0,78226854004.0,77073422756.0,195888597656.0,156894324738.0,131317599401.0
278280,9727003944.0,8626607892.0,7675381671.0,120411622739.0,159037789778.0,183067171913.0
399720,11508951773.0,10719161635.0,8366349236.0,73722725463.0,82247927125.0,50879354108.0
045100,51703370668.0,46452738281.0,45870707030.0,1012766846614.0,1053647392562.0,895186399174.0
490470,72586178340.0,56144869033.0,54159685915.0,101759916838.0,78595002504.0,49065293700.0
099190,117374544141.0,110875959251.0,95129512983.0,190183616077.0,177604266307.0,159061309156.0
174900,18775874132.0,16665835228.0,13714634044.0,3573944011.0,1262932953.0,807310444.0
086900,126275559438.0,118680008569.0,116548619841.0,104010357541.0,89593237625.0,87249733951.0
025980,90566934679.0,107154840644.0,99640597918.0,159187351108.0,177204070871.0,530608309726.0
082270,31133221837.0,58051988446.0,33916559104.0,46605066733.0,42976563147.0,46160224865.0
340570,26036433286.0,18535576360.0,14314281284.0,91770575362.0,99398761355.0,70307852630.0
037460,75876295182.0,73809566284.0,56783102165.0,4052772347136.0,3170258456403.0,2391081380504.0
101160,26293754337.0,24349082306.0,21725911746.0,206926852926.0,212137334998.0,201532403140.0
376900,15235221996.0,11554693800.0,11425113424.0,10558904914.0,7128565105.0,8370205255.0
460930,9049325166.0,9173712256.0,7470925912.0,210390901496.0,192441418133.0,167253417269.0
