종목코드,조회코드,종목명,영문명,시장구분,통화,현재가,등락률,시가총액,거래량,배당수익률,업종_소분류,상장폐지여부,국가,기준연도,결산월,매출액_전전기,매출액_원화_전전기,매출액,매출액_원화,매출액_전기,매출액_원화_전기,PER_전전기,PER,PER_전기,PBR_전전기,PBR,PBR_전기,EBITDA_전전기,EBITDA_원화_전전기,EBITDA,EBITDA_원화,EBITDA_전기,EBITDA_원화_전기,영업이익_전전기,영업이익_원화_전전기,영업이익,영업이익_원화,영업이익_전기,영업이익_원화_전기,당기순이익_전전기,당기순이익_원화_전전기,당기순이익,당기순이익_원화,당기순이익_전기,당기순이익_원화_전기,배당수익률_전전기,배당수익률_전기,ROA_전전기,ROA,ROA_전기,영업이익률
300520,300520.SZ,과대국창,GuoChuang Software Co Ltd Class A,심천,CNY,24.04,0.21,7020425673.0,10566712.0,0.0,소프트웨어,True,중국,2025,12.31,2514900000.0,505142000000.0,1472140000.0,295695000000.0,1900010000.0,381637000000.0,,,,3.25,3.91,5.24,-49200000.0,-9882000000.0,-42020000.0,-8440000000.000001,23950000.0,4810000000.0,-91340000.0,-18347000000.0,-109580000.0,-22011000000.0,-33189999.999999996,-6666000000.0,-380330000.0,-76393000000.0,-184040000.0,-36967000000.0,-8230000.0,-1654000000.0,,,-8.82,-5.22,-0.8,-7.44
002006,002006.SZ,정공과기,Zhejiang Jinggong Integration Technology Co Ltd Class A,심천,CNY,13.5,1.96,7015726683.0,10548626.0,1.51,산업용 기계 및 장비,True,중국,2025,12.31,1540070000.0,309338000000.0,1692960000.0,340049000000.0,1728700000.0,347227000000.0,39.79,37.42,56.72,5.45,2.81,4.02,194890000.0,39146000000.0,241030000.0,48414000000.0,191350000.0,38434000000.0,165890000.0,33322000000.000004,190710000.0,38307000000.0,148250000.0,29777999999.999996,183300000.0,36817000000.0,185500000.0,37260000000.0,146950000.0,29516000000.000004,0.94,0.82,7.25,4.13,4.44,11.26
002093,002093.SZ,국맥과기,Guomai Technologies Inc Class A,심천,CNY,6.95,0.29,7002125000.0,9796601.0,1.44,"초, 중, 고등 교육기관",True,중국,2025,12.31,532659999.99999994,106989000000.00002,588350000.0,118176000000.0,549420000.0,110356000000.0,106.08,38.6,50.61,3.06,1.79,2.63,145640000.0,29254000000.000004,228330000.0,45862000000.0,181810000.0,36519000000.0,96600000.0,19403000000.0,145260000.0,29177999999.999996,125080000.0,25123000000.0,104460000.0,20982000000.0,176680000.0,35488000000.0,168610000.0,33868000000.0,0.41,1.24,2.43,4.04,3.99,24.69
002380,002380.SZ,Nanjing Sciyon Wisdom Technology Group Co Ltd Class A,Nanjing Sciyon Wisdom Technology Group Co Ltd Class A,심천,CNY,29.17,0.21,7000556401.0,6378327.0,0.69,산업용 기계 및 장비,True,중국,2025,12.31,,,1866730000.0,374951000000.0,1682250000.0,337897000000.0,,38.24,33.24,,2.83,3.77,,,285950000.0,57435000000.0,306660000.0,61595000000.00001,,,252400000.0,50698000000.0,272640000.0,54762000000.0,,,138900000.0,27899000000.0,251830000.0,50583000000.0,,0.11,,5.6,7.56,13.52
000755,000755.SZ,산서 고속집단,Shanxi Hi speed Group Co Ltd Class A,심천,CNY,4.77,0.21,6999069635.0,3614163.0,4.2,고속도로 및 철도,True,중국,2025,12.31,1711650000.0,343801000000.0,1629340000.0,327269000000.0,1609210000.0,323226000000.0,16.25,15.23,16.06,1.51,1.28,1.4,1435450000.0,288325000000.0,1293520000.0,259816000000.0,1356910000.0,272548000000.0,846400000.0,170009000000.0,773940000.0,155454000000.0,813350000.0,163369000000.0,458730000.0,92141000000.0,465230000.0,93446000000.0,466010000.0,93602000000.0,0.89,3.92,3.54,3.78,3.7,47.5
002733,002733.SZ,웅도전력,Shenzhen Center Power Tech Co Ltd Class A,심천,CNY,18.21,-1.89,6996553566.0,19885507.0,0.54,전기 부품 및 장비,True,중국,2025,12.31,3600150000.0,723126000000.0,3478060000.0,698604000000.0,3554070000.0,713871000000.0,37.99,92.22,115.88,2.02,2.63,4.42,297000000.0,59654000000.0,275270000.0,55291999999.99999,304670000.0,61195000000.00001,171900000.0,34527000000.0,143940000.0,28911000000.0,172960000.0,34741000000.0,138790000.0,27877000000.0,79710000.0,16010000000.0,97100000.0,19504000000.0,1.05,0.32,2.54,1.6,1.84,4.14
000517,000517.SZ,영안부동산,Rongan Property Co Ltd Class A,심천,CNY,2.19,-2.23,6972790242.0,43227043.0,0.0,"부동산 임대, 개발 및 운영",True,중국,2025,12.31,22333390000.0,4485885000000.0,5564170000.0,1117619000000.0,23980890000.0,4816802000000.0,16.38,,,0.73,1.52,1.01,328640000.0,66011000000.0,-1128470000.0,-226664000000.0,-1432570000.0,-287746000000.0,318570000.0,63988000000.0,-1132380000.0,-227450000000.0,-1437980000.0,-288832000000.0,357490000.0,71806000000.0,-1145710000.0,-230127000000.0,-1730940000.0,-347676000000.0,16.33,,0.57,-8.14,-5.49,-20.35
300648,300648.SZ,복건성운전자,Fujian Nebula Electronics Co Ltd Class A,심천,CNY,39.91,-1.94,6955570674.0,2288354.0,0.0,산업용 기계 및 장비,True,중국,2025,12.31,906700000.0,182120000000.0,954940000.0,191809000000.0,1090990000.0,219137000000.0,,,,4.19,5.75,10.11,-77100000.0,-15487000000.0,-27040000.0,-5432000000.0,59970000.0,12045000000.0,-165850000.0,-33312000000.0,-121880000.0,-24480000000.0,-32500000.0,-6529000000.000001,-192870000.0,-38740000000.0,-220040000.0,-44196000000.0,-82450000.0,-16561000000.000002,,,-7.76,-9.14,-3.67,-12.76
001311,001311.SZ,다리과기,Chuzhou Duoli Automotive Technology Co Ltd Class A,심천,CNY,17.23,-1.99,6955098569.0,4777174.0,0.0,"자동차, 트럭 및 오토바이 부품",True,중국,2025,12.31,3912540000.0,785873000000.0,4192910000.0,842187000000.0001,3592020000.0,721493000000.0,12.66,29.84,23.18,1.55,1.51,2.16,735370000.0,147706000000.0,516960000.00000006,103836999999.99998,667950000.0,134165000000.00002,596220000.0,119756000000.0,264440000.0,53116000000.0,470580000.0,94520000000.0,496570000.0,99741000000.0,234410000.0,47083000000.0,424930000.0,85351000000.0,2.26,1.62,11.09,3.63,7.48,6.31
002135,002135.SZ,동남망가,Zhejiang Southeast Space Frame Co Ltd Class A,심천,CNY,6.23,-3.86,6949716271.0,14318900.0,0.15,건설 및 엔지니어링,True,중국,2025,12.31,12995670000.0,2610310000000.0,9378470000.0,1883759999999.9998,11242290000.0,2258126000000.0,14.71,184.86,42.25,0.74,1.16,1.25,742130000.0,149064000000.0,472940000.0,94994000000.0,666420000.0,133857000000.0,481400000.0,96694000000.0,215300000.0,43245000000.0,381780000.0,76684000000.0,326320000.0,65544000000.00001,48990000.0,9840000000.0,190450000.0,38254000000.0,2.43,0.96,1.83,0.27,1.0,2.3
