종목코드,조회코드,종목명,영문명,시장구분,통화,현재가,등락률,시가총액,거래량,배당수익률,업종_소분류,상장폐지여부,국가,기준연도,결산월,매출액_전기,매출액_원화_전기,매출액_전전기,매출액_원화_전전기,매출액,매출액_원화,PER_전기,PER_전전기,PER,PBR_전기,PBR_전전기,PBR,EBITDA_전기,EBITDA_원화_전기,EBITDA_전전기,EBITDA_원화_전전기,EBITDA,EBITDA_원화,영업이익_전기,영업이익_원화_전기,영업이익_전전기,영업이익_원화_전전기,영업이익,영업이익_원화,당기순이익_전기,당기순이익_원화_전기,당기순이익_전전기,당기순이익_원화_전전기,당기순이익,당기순이익_원화,배당수익률_전기,배당수익률_전전기,ROA_전기,ROA_전전기,ROA,영업이익률
6396,6396.T,우노자와구미철공소,Unozawa-gumi Iron Works Ltd,도쿄,JPY,4700.0,0.0,5264000000.0,1300.0,1.06,산업용 기계 및 장비,True,일본,2026.0,3.31,4954530000.0,42720000000.0,5517100000.0,47571000000.0,4917530000.0,42401000000.0,11.06,7.17,11.38,1.3,1.0,1.37,789360000.0,6806000000.0,847410000.0,7306999999.999999,766020000.0,6605000000.0,594300000.0,5124000000.0,636320000.0,5487000000.0,562620000.0,4851000000.0,396860000.0,3422000000.0,424190000.0,3658000000.0,433630000.0,3739000000.0,1.26,1.8,4.61,5.09,5.16,11.44
3189,3189.T,ANAP 홀딩스,ANAP Holdings Inc,도쿄,JPY,113.0,1.8,5258714900.0,651900.0,0.0,의류 및 액세서리 소매,True,일본,2025.0,8.31,2709230000.0,23360000000.0,4216450000.0,36356000000.0,1774720000.0,15303000000.0,,,,,,0.37,-995210000.0,-8581000000.0,-674340000.0,-5814000000.0,-1455750000.0,-12552000000.0,-996490000.0,-8592000000.0,-740480000.0,-6385000000.0,-1456570000.0,-12559000000.0,-1187590000.0,-10240000000.0,-1164780000.0,-10043000000.0,-2660020000.0,-22936000000.0,,,-95.65,-55.07,-27.79,-82.07
3726,3726.T,4Cs HD,4Cs HD Co Ltd,도쿄,JPY,400.0,-0.74,5258188000.0,18300.0,0.0,기타 전문 소매,True,일본,2025.0,9.3,2257800000.0,19468000000.0,2136880000.0,18425000000.0,2441040000.0,21048000000.0,,,,4.11,7.43,2.72,-75690000.0,-653000000.0,-166210000.0,-1433000000.0,-45000000.0,-388000000.0,-126170000.0,-1088000000.0,-214210000.0,-1847000000.0,-165320000.0,-1425000000.0,-273030000.0,-2354000000.0,-272620000.0,-2351000000.0,-243930000.0,-2103000000.0,,,-13.87,-17.6,-9.24,-6.77
3839,3839.T,오디케이솔류션즈,ODK Solutions Co Ltd,도쿄,JPY,641.0,-0.16,5256200000.0,700.0,1.56,IT 서비스 및 컨설팅,True,일본,2026.0,3.31,6472390000.0,55808000000.00001,5867050000.0,50589000000.0,6657920000.0,57408000000.00001,14.62,11.38,15.2,0.81,0.77,0.82,1093270000.0,9427000000.0,1108240000.0,9556000000.0,1203920000.0,10381000000.0,516120000.0,4450000000.0,572510000.0,4936000000.0,606810000.0,5232000000.0,263370000.0,2271000000.0,266800000.0,2300000000.0,139500000.0,1203000000.0,1.6,1.74,2.93,3.1,1.53,9.11
7370,7370.T,엔진,Enjin Co Ltd,도쿄,JPY,719.0,0.0,5247405800.0,1800.0,5.56,광고 및 마케팅,True,일본,2026.0,5.31,2919700000.0,25175000000.0,3267040000.0,28170000000.0,2699020000.0,23272000000.0,9.08,7.81,18.04,1.1,1.32,1.12,923960000.0,7967000000.0,1109600000.0,9568000000.0,423170000.0,3649000000.0,841030000.0,7252000000.0,1045420000.0,9014000000.0,361470000.0,3117000000.0,539210000.0,4649000000.0,749010000.0,6458000000.0,237440000.0,2047000000.0,6.21,4.48,10.41,14.8,4.55,13.39
4445,4445.T,리빙 테크놀러지,Living Technologies Inc,도쿄,JPY,1949.0,0.57,5244696632.0,1900.0,0.0,온라인 서비스,True,일본,2025.0,9.3,3570150000.0,30784000000.0,3374630000.0,29098000000.0,3592750000.0,30979000000.000004,46.73,7.46,15.91,3.19,1.55,2.84,221050000.0,1906000000.0,469150000.0,4045000000.000001,520140000.0,4485000000.0,207040000.0,1785000000.0000002,461950000.0,3983000000.0,503600000.0,4342000000.0,114020000.0,983000000.0,302210000.0,2606000000.0,314580000.0,2712000000.0,,,4.13,14.62,9.35,14.02
6335,6335.T,도쿄기계제작소,Tokyo Kikai Seisakusho Ltd,도쿄,JPY,600.0,0.33,5237352000.0,27000.0,0.0,산업용 기계 및 장비,True,일본,2026.0,3.31,7401880000.0,63823000000.0,9315060000.0,80319000000.0,8456740000.0,72918000000.0,10.42,12.16,6.83,0.5,0.41,0.52,796280000.0,6866000000.0,757110000.0,6528000000.0,879660000.0,7584999999.999999,641390000.0,5530000000.0,614990000.0,5303000000.0,721560000.0,6222000000.0,345650000.0,2980000000.0,-83330000.0,-719000000.0,1057390000.0,9117000000.0,,,2.84,-0.26,7.27,8.53
2995,2995.T,J-렉스,J-REX Corp,도쿄,JPY,1500.0,0.0,5235750000.0,,0.0,"부동산 임대, 개발 및 운영",True,일본,2025.0,6.3,17103110000.0,147472000000.0,16809040000.0,144936000000.0,18529740000.0,159773000000.0,,,,,,,1851820000.0,15966999999.999998,1562820000.0,13475000000.0,1956360000.0,16869000000.0,1841800000.0,15881000000.0,1550310000.0,13368000000.0,1948670000.0,16802000000.000002,1212200000.0,10452000000.0,1185270000.0,10220000000.0,1317680000.0,11362000000.0,2.53,2.5,4.37,4.68,4.07,10.52
6538,6538.T,디스럽터스,Disruptors Inc,도쿄,JPY,249.0,0.4,5228103600.0,28700.0,2.02,고용 서비스,True,일본,2026.0,3.31,4294000000.0,37025000000.0,3767000000.0,32481000000.0,5114000000.0,44095000000.0,16.39,,7.39,2.21,1.47,1.82,648000000.0,5587000000.0,503000000.0,4337000000.0,1022000000.0,8812000000.0,352000000.0,3035000000.0,65000000.0,560000000.0,726000000.0,6260000000.0,211000000.0,1819000000.0,-1601000000.0,-13805000000.000002,680000000.0,5863000000.0,2.11,3.33,5.43,-32.08,16.97,14.2
509A,509A.T,그린라이트 재생에너지 펀드,Green Light Renewable Energy Infrastructure Fund,도쿄,JPY,70900.0,0.14,5224266500.0,138.0,8.33,재생 가능 에너지 장비 및 서비스,True,일본,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7127,7127.T,이카 홀딩스,Ikka Holdings Co Ltd,도쿄,JPY,709.0,-0.14,5223770200.0,6000.0,0.0,레스토랑 및 바,True,일본,2026.0,3.31,10089880000.0,87000000000.0,9232640000.0,79608000000.0,11533020000.0,99443000000.0,,38.4,47.41,5.5,4.42,5.12,192780000.0,1662000000.0,479000000.0,4130000000.0,575120000.0,4959000000.0,-74560000.0,-643000000.0,227930000.0,1965000000.0,250250000.0,2158000000.0,-189010000.0,-1630000000.0,79000000.0,681000000.0,78950000.0,681000000.0,,,-3.39,1.57,1.32,2.17
7131,7131.T,노무라,Nomura Corp,도쿄,JPY,3750.0,0.54,5218406250.0,1900.0,0.0,용기(종이 제외) 및 포장재,True,일본,2025.0,10.31,6612900000.0,57020000000.00001,5972940000.0,51502000000.0,7111930000.0,61323000000.0,9.96,6.45,9.09,1.96,1.28,2.04,580220000.0,5003000000.0,510470000.0,4402000000.0,811360000.0,6995999999.999999,505260000.0,4357000000.0,448110000.0,3864000000.0,753440000.0,6497000000.0,339220000.0,2925000000.0,290320000.0,2503000000.0,508260000.0,4383000000.0,2.1,3.29,8.8,7.95,11.52,10.59
3058,3058.T,산요도 서점,Sanyodo Holdings Inc,도쿄,JPY,703.0,-0.28,5202200000.0,500.0,0.0,기타 전문 소매,True,일본,2026.0,3.31,16605090000.0,143177000000.0,17297410000.0,149147000000.0,17249390000.0,148733000000.0,24.41,73.49,13.52,1.79,1.9,1.69,314800000.0,2714000000.0,305050000.0,2630000000.0,438560000.0,3781000000.0,123630000.0,1066000000.0,84310000.0,727000000.0,268550000.0,2316000000.0,177820000.0,1533000000.0,-46500000.0,-401000000.0,340410000.0,2935000000.0,,,1.43,-0.37,2.74,1.56
4934,4934.T,프리미어 안티에이징,Premier Anti-Aging Co.  Ltd.,도쿄,JPY,596.0,-0.33,5197438264.0,6900.0,0.0,기타 전문 소매,True,일본,2025.0,7.31,20359000000.0,175545000000.0,26400660000.0,227640000000.0,16160000000.0,139340000000.0,,,9.62,1.31,0.89,0.78,389000000.0,3354000000.0,-403230000.0,-3477000000.0000005,915000000.0,7890000000.000001,139000000.0,1199000000.0,-611680000.0,-5274000000.0,617000000.0,5320000000.0,-1483000000.0,-12787000000.0,-733970000.0,-6329000000.0,471000000.0,4061000000.0,,,-12.82,-6.01,4.47,3.82
5133,5133.T,테릴로지 홀딩스,Terilogy Holdings Corp,도쿄,JPY,303.0,0.66,5184857826.0,24600.0,1.79,통신 및 네트워킹,True,일본,2026.0,3.31,8653570000.0,74615000000.0,6881040000.0,59332000000.00001,10646430000.0,91799000000.0,19.21,17.72,13.29,2.0,1.71,1.68,500270000.0,4314000000.0,454530000.0,3919000000.0,798690000.0,6887000000.0,273190000.0,2356000000.0,272470000.0,2349000000.0,549020000.0,4734000000.0,176000000.0,1518000000.0,188730000.0,1627000000.0,347000000.0,2992000000.0,1.5,1.88,2.63,2.99,4.28,5.16
9146,9146.T,고켄도 홀딩스,Gokendo Holdings Inc,도쿄,JPY,4000.0,0.0,5180000000.0,,0.0,"배달, 우편, 항공 화물 및 육상 물류",True,일본,2025.0,12.31,10793980000.0,93071000000.0,9085110000.0,78336000000.0,10967080000.0,94564000000.0,,,,,,,1333290000.0,11496000000.0,1122940000.0,9683000000.0,1648820000.0,14216999999.999998,528280000.0,4555000000.0,555200000.0,4787000000.0,836060000.0,7209000000.0,318720000.0,2748000000.0,369260000.0,3184000000.0,657860000.0,5672000000.0,0.62,0.72,2.67,3.47,4.93,7.62
8798,8798.T,어드밴스 크리에이트,Advance Create Co Ltd,도쿄,JPY,138.0,-0.72,5170611600.0,16100.0,0.0,복합보험 및 중개인,True,일본,2025.0,9.3,7856950000.0,67747000000.0,10163510000.0,87635000000.0,6608060000.0,56978000000.0,,15.77,,,2.68,8.04,-629410000.0,-5427000000.0,-1442910000.0,-12441000000.0,-540310000.0,-4659000000.0,-711300000.0,-6133000000.0,-2020400000.0,-17421000000.0,-606460000.0,-5229000000.0,-2250290000.0,-19403000000.0,-1769280000.0,-15256000000.0,-1539360000.0,-13272999999.999998,5.65,6.16,-25.91,-15.38,-17.95,-9.18
3965,3965.T,캐피탈에셋플래닝,Capital Asset Planning Inc,도쿄,JPY,897.0,-0.99,5165874129.0,3800.0,2.87,핀테크,True,일본,2025.0,9.3,8178890000.0,70522000000.0,8046860000.0,69384000000.0,9689410000.0,83547000000.0,16.12,12.88,11.46,1.36,1.35,1.39,759860000.0,6552000000.0,858010000.0,7398000000.0,900930000.0,7768000000.000001,404750000.0,3490000000.0,433840000.0,3741000000.0,620710000.0,5352000000.0,156760000.0,1352000000.0,221620000.0,1911000000.0,401820000.0,3465000000.0,2.04,2.16,2.8,4.17,6.49,6.41
1795,1795.T,마사루,Masaru Corp,도쿄,JPY,5720.0,0.0,5154583720.0,100.0,0.0,건설 및 엔지니어링,True,일본,2025.0,9.3,8947610000.0,77151000000.0,8635480000.0,74459000000.0,10647690000.0,91810000000.0,12.98,9.8,9.61,0.79,0.71,0.95,457080000.0,3941000000.0,532490000.0,4591000000.0,755730000.0,6516000000.0,407520000.0,3514000000.0,504420000.0,4349000000.0,638160000.0,5503000000.0,277430000.0,2392000000.0,344760000.0,2973000000.0,405230000.0,3494000000.0,3.64,3.65,3.48,4.9,4.71,5.99
5900,5900.T,다이켄 (Metal),Daiken Co Ltd,도쿄,JPY,860.0,-1.04,5134612800.0,900.0,2.88,건설 자재 및 비품,True,일본,2026.0,2.28,11024530000.0,95059000000.0,10881760000.0,93828000000.0,11567550000.0,99741000000.0,18.65,13.35,16.15,0.33,0.34,0.35,643500000.0,5549000000.0,771330000.0,6651000000.000001,643940000.0,5552000000.0,295310000.0,2546000000.0,448040000.0,3863000000.000001,257420000.00000003,2220000000.0,246190000.0,2123000000.0,328750000.0,2835000000.0,296040000.0,2553000000.0,2.12,1.86,1.56,2.07,1.81,2.23
7039,7039.T,브릿지 인터내셔널 그룹,Bridge International Group Corp,도쿄,JPY,1362.0,-0.22,5132833200.0,6800.0,6.23,경영 지원 서비스,True,일본,2025.0,12.31,8615420000.0,74286000000.0,8615420000.0,74286000000.0,8564870000.000001,73851000000.0,10.01,9.08,8.36,1.6,1.4,1.05,1178310000.0,10160000000.0,1178310000.0,10160000000.0,1055050000.0,9097000000.0,950460000.0,8195000000.0,950460000.0,8195000000.0,873710000.0,7534000000.0,661860000.0,5707000000.0,661860000.0,5707000000.0,536410000.0,4625000000.0,3.08,2.06,11.9,11.9,9.2,10.2
4673,4673.T,가와사키지질,Kawasaki Geological Engineering Co Ltd,도쿄,JPY,4825.0,-1.33,5104753500.0,2600.0,2.97,채굴 지원 서비스 및 장비,True,일본,2025.0,11.3,9559440000.0,82426000000.0,9292050000.0,80121000000.0,12708830000.0,109582000000.0,11.86,25.43,7.02,0.93,0.68,0.83,628640000.0,5420000000.0,311890000.0,2689000000.0,853460000.0,7359000000.0,431110000.0,3717000000.0,115660000.0,997000000.0,665970000.0,5742000000.0,353840000.0,3051000000.0,157800000.0,1361000000.0,620500000.0,5350000000.0,1.04,1.53,3.65,1.73,5.71,5.24
2376,2376.T,싸이넥스,SCiNEX Corp,도쿄,JPY,781.0,-1.76,5053585460.0,2500.0,1.89,소비자 출판,True,일본,2026.0,3.31,16491470000.000002,142198000000.0,15390990000.0,132708999999.99998,17089580000.000002,147355000000.0,10.93,11.33,23.33,0.46,0.57,0.55,769400000.0,6634000000.0,772260000.0,6659000000.0,484080000.0,4174000000.0,478100000.0,4122000000.0,504710000.0,4352000000.0,167330000.0,1443000000.0,274890000.0,2370000000.0,377600000.0,3256000000.0,50480000.0,435000000.0,2.28,1.88,1.85,2.57,0.35,0.98
