종목코드,종목명,시장구분,종목구분,현재가,등락률,시가총액,상장주식수,거래량,외국인비율,PER,ROE,당기순이익,매출액,부채총계,영업이익,자본총계,자산총계,부채비율,영업이익률,ROE_계산,기준연도,보고서
005930,삼성전자,KOSPI,보통주,257000,-3.38,1502493600000000,5846279,14698877,46.75,11.53,10.85,45206805000000.0,333605938000000.0,130621773000000.0,43601051000000.0,436320337000000.0,566942110000000.0,29.94,13.07,10.36,2025,사업보고서
000660,SK하이닉스,KOSPI,보통주,1653000,-4.45,1207503900000000,730492,2796942,50.63,7.37,44.15,42947902000000.0,97146675000000.0,55440908000000.0,47206319000000.0,120666751000000.0,176107659000000.0,45.95,48.59,35.59,2025,사업보고서
402340,SK스퀘어,KOSPI,보통주,1028000,-3.75,135617900000000,131924,439255,46.26,4.14,37.82,8818695000000.0,1411521000000.0,2521383000000.0,8797421000000.0,27983163000000.0,30504546000000.0,9.01,623.26,31.51,2025,사업보고서
009150,삼성전기,KOSPI,보통주,1421000,2.6,106139700000000,74694,742701,37.68,109.44,7.7,730989517218.0,11314459238100.0,4798551372605.0,913331178557.0,9797343882863.0,14595895255468.0,48.98,8.07,7.46,2025,사업보고서
373220,LG에너지솔루션,KOSPI,보통주,370000,-0.13,86580000000000,234000,237879,5.5,-51.44,-5.19,80803000000.0,23671759000000.0,37826277000000.0,1346120000000.0,29321676000000.0,67147953000000.0,129.0,5.69,0.28,2025,사업보고서
005380,현대차,KOSPI,보통주,399500,0.38,81800700000000,204758,438365,24.25,13.01,8.41,10364775000000.0,186254472000000.0,241196612000000.0,11467851000000.0,127648237000000.0,368844849000000.0,188.95,6.16,8.12,2025,사업보고서
207940,삼성바이오로직스,KOSPI,보통주,1486000,-6.78,68788400000000,46291,107486,13.22,41.05,19.44,1784352060593.0,4556971695180.0,3609631328852.0,2069221266630.0,7451110647985.0,11060741976837.0,48.44,45.41,23.95,2025,사업보고서
032830,삼성생명,KOSPI,보통주,310000,0.98,62000000000000,200000,258815,23.21,21.59,4.96,2451515000000.0,,285850383000000.0,2580469000000.0,64835318000000.0,350685701000000.0,440.89,,3.78,2025,사업보고서
105560,KB금융,KOSPI,보통주,171600,2.08,60864400000000,354688,822997,79.26,10.85,9.98,5840715000000.0,,737093044000000.0,8517711000000.0,60829989000000.0,797923033000000.0,1211.73,,9.6,2025,사업보고서
028260,삼성물산,KOSPI,보통주,375000,-0.13,60812800000000,162168,227518,30.87,22.7,6.02,3906652564846.0,40742240967149.0,29035796293982.0,3292747495925.0,57496949405446.0,86532745699428.0,50.5,8.08,6.79,2025,사업보고서
012450,한화에어로스페이스,KOSPI,보통주,1157000,0.61,59658900000000,51563,116700,45.56,28.85,19.14,2201983086000.0,26702901249000.0,37165484932000.0,3089320181000.0,16788184672000.0,53953669604000.0,221.38,11.57,13.12,2025,사업보고서
034020,두산에너빌리티,KOSPI,보통주,88200,2.68,56497500000000,640561,3489893,23.88,311.66,1.11,205163000000.0,17057876000000.0,15503853000000.0,762712000000.0,12009370000000.0,27513223000000.0,129.1,4.47,1.71,2025,사업보고서
055550,신한지주,KOSPI,보통주,109700,0.83,51498700000000,469450,728791,62.13,10.46,8.72,5084519000000.0,,725641161000000.0,7023357000000.0,60372324000000.0,786013485000000.0,1201.94,,8.42,2025,사업보고서
000270,기아,KOSPI,보통주,128000,1.51,49972900000000,390413,820385,39.23,7.11,12.92,7554174000000.0,114140919000000.0,37788591000000.0,9078148000000.0,61190464000000.0,98979055000000.0,61.76,7.95,12.35,2025,사업보고서
329180,HD현대중공업,KOSPI,보통주,457000,-2.77,47967300000000,104961,224543,14.05,17.83,18.82,1415484565000.0,17580633257000.0,16821424437000.0,2037510103000.0,9341620098000.0,26163044535000.0,180.07,11.59,15.15,2025,사업보고서
006400,삼성SDI,KOSPI,보통주,571000,0.35,46014300000000,80586,443235,26.48,1246.72,-3.15,-584875358534.0,13266730679499.0,18685225421089.0,-1722360788760.0,23570113159830.0,42255338580919.0,79.28,-12.98,-2.48,2025,사업보고서
068270,셀트리온,KOSPI,보통주,190700,-0.31,44360100000000,232617,375920,25.55,29.03,5.94,1031483789240.0,4162495108881.0,4982370370686.0,1168471345595.0,17352529819114.0,22334900189800.0,28.71,28.07,5.94,2025,사업보고서
012330,현대모비스,KOSPI,보통주,450500,-0.22,40464200000000,89821,327014,37.77,11.3,7.68,3664736000000.0,61118127000000.0,21187737000000.0,3357456000000.0,49212795000000.0,70400532000000.0,43.05,5.49,7.45,2025,사업보고서
034730,SK,KOSPI,보통주,543000,-2.34,39369000000000,72503,126114,30.01,4.93,6.35,3555246000000.0,122703338000000.0,127828333000000.0,1818476000000.0,85691335000000.0,213519668000000.0,149.17,1.48,4.15,2025,사업보고서
086790,하나금융지주,KOSPI,보통주,136000,1.8,37314000000000,274368,467329,68.2,9.37,9.17,4036638000000.0,,628945122000000.0,5350898000000.0,45645554000000.0,674590676000000.0,1377.89,,8.84,2025,사업보고서
